('1', '14', '7'),
('1', '5', '1'),
('1', '12', '7'),
('1', '10', '5'),
('1', '6', '9'),
('1', '21', '9'),
('1', '11', '8'),
('1', '30', '1'),
('2', '1', '10'),
('2', '17', '9'),
('2', '5', '3'),
('3', '1', '9'),
('3', '26', '3'),
('3', '29', '2'),
('3', '6', '7'),
('4', '23', '1'),
('4', '5', '1'),
('4', '20', '8'),
('4', '28', '2'),
('4', '2', '6'),
('4', '9', '5'),
('4', '11', '3'),
('4', '13', '8'),
('5', '11', '9'),
('5', '9', '5'),
('5', '26', '9'),
('5', '16', '8'),
('5', '13', '1'),
('5', '1', '9'),
('5', '10', '10'),
('6', '24', '5'),
('6', '4', '1'),
('6', '13', '5'),
('6', '12', '10'),
('6', '16', '5'),
('6', '2', '4'),
('6', '1', '9'),
('7', '19', '4'),
('7', '11', '10'),
('8', '11', '1'),
('8', '28', '10'),
('8', '24', '1'),
('9', '11', '7'),
('9', '16', '3'),
('9', '26', '1'),
('9', '13', '3'),
('9', '20', '10'),
('10', '24', '8'),
('11', '3', '5'),
('11', '18', '3'),
('11', '30', '9'),
('11', '14', '3'),
('12', '17', '9'),
('12', '21', '10'),
('13', '10', '5'),
('13', '1', '5'),
('13', '14', '9'),
('13', '25', '9'),
('13', '27', '9'),
('14', '26', '10'),
('14', '5', '7'),
('14', '28', '6'),
('14', '1', '8'),
('14', '25', '1'),
('14', '17', '9'),
('14', '29', '7'),
('15', '17', '8'),
('15', '6', '1'),
('15', '22', '4'),
('15', '7', '10'),
('15', '21', '4'),
('15', '12', '5'),
('16', '15', '8'),
('16', '8', '2'),
('16', '24', '7'),
('16', '23', '7'),
('16', '30', '5'),
('16', '17', '5'),
('16', '27', '7'),
('16', '4', '6'),
('16', '7', '10'),
('16', '6', '6'),
('17', '25', '5'),
('18', '25', '10'),
('18', '21', '8'),
('18', '29', '6'),
('18', '22', '10'),
('18', '13', '3'),
('18', '23', '10'),
('18', '2', '5'),
('19', '30', '1'),
('19', '17', '2'),
('19', '5', '4'),
('19', '2', '2'),
('19', '3', '9'),
('19', '19', '8'),
('19', '12', '1'),
('19', '24', '6'),
('20', '29', '3'),
('20', '5', '10'),
('20', '25', '3'),
('20', '21', '7'),
('20', '9', '5'),
('20', '14', '9'),
('20', '22', '1'),
('21', '24', '9'),
('22', '6', '3'),
('22', '12', '5'),
('22', '26', '4'),
('22', '19', '5'),
('22', '3', '6'),
('22', '28', '5'),
('22', '18', '5'),
('23', '5', '2'),
('23', '2', '4'),
('23', '21', '8'),
('23', '19', '10'),
('23', '6', '4'),
('23', '28', '8'),
('23', '17', '9'),
('23', '29', '3'),
('23', '11', '6'),
('24', '18', '2'),
('25', '14', '6'),
('25', '20', '10'),
('26', '27', '1'),
('26', '28', '3'),
('26', '21', '3'),
('26', '4', '1'),
('26', '5', '6'),
('26', '11', '10'),
('27', '26', '3'),
('27', '13', '6'),
('27', '30', '2'),
('27', '2', '7'),
('27', '20', '1'),
('28', '22', '8'),
('28', '10', '7'),
('28', '19', '3'),
('28', '28', '1'),
('28', '26', '8'),
('29', '4', '7'),
('29', '30', '10'),
('29', '1', '1'),
('29', '12', '6'),
('29', '28', '8'),
('29', '6', '9'),
('30', '28', '9'),
('30', '2', '7'),
('31', '4', '3'),
('31', '27', '9'),
('31', '29', '5'),
('31', '3', '1'),
('31', '11', '1'),
('31', '12', '7'),
('31', '30', '6'),
('31', '16', '3'),
('31', '2', '9'),
('32', '29', '1'),
('32', '30', '8'),
('32', '20', '7'),
('32', '11', '1'),
('33', '8', '7'),
('33', '12', '8'),
('33', '6', '6'),
('34', '6', '10'),
('35', '1', '9'),
('35', '27', '1'),
('35', '11', '1'),
('36', '5', '6'),
('36', '25', '4'),
('36', '30', '3'),
('36', '22', '6'),
('36', '26', '9'),
('36', '13', '4'),
('36', '1', '9'),
('36', '14', '7'),
('36', '23', '2'),
('36', '19', '3'),
('37', '29', '4'),
('37', '14', '8'),
('37', '8', '7'),
('37', '16', '10'),
('37', '13', '2'),
('37', '28', '5'),
('37', '26', '5'),
('38', '20', '2'),
('38', '25', '9'),
('38', '16', '1'),
('38', '8', '3'),
('38', '9', '7'),
('38', '2', '1'),
('38', '30', '7'),
('38', '11', '7'),
('38', '13', '7'),
('38', '21', '2'),
('39', '11', '3'),
('39', '16', '10'),
('39', '14', '5'),
('40', '21', '8'),
('40', '12', '9'),
('40', '25', '1'),
('41', '11', '5'),
('41', '10', '7'),
('41', '13', '4'),
('41', '21', '6'),
('41', '2', '3'),
('41', '29', '3'),
('41', '18', '2'),
('41', '14', '10'),
('41', '26', '6'),
('41', '23', '3'),
('42', '3', '9'),
('42', '21', '3'),
('42', '23', '3'),
('42', '28', '3'),
('42', '22', '4'),
('42', '30', '3'),
('42', '14', '4'),
('42', '18', '1'),
('43', '24', '6'),
('43', '10', '9'),
('43', '23', '6'),
('43', '26', '9'),
('43', '11', '3'),
('43', '22', '7'),
('43', '4', '9'),
('43', '14', '5'),
('43', '9', '4'),
('43', '6', '7'),
('44', '14', '3'),
('44', '27', '1'),
('44', '4', '10'),
('44', '22', '10'),
('44', '5', '9'),
('45', '17', '1'),
('45', '4', '2'),
('45', '9', '6'),
('45', '23', '8'),
('45', '24', '6'),
('45', '20', '2'),
('45', '6', '8'),
('45', '13', '6'),
('45', '3', '10'),
('45', '2', '5'),
('46', '18', '9'),
('46', '27', '7'),
('46', '3', '10'),
('46', '25', '4'),
('46', '17', '8'),
('46', '6', '7'),
('46', '1', '5'),
('46', '21', '1'),
('46', '29', '10'),
('47', '19', '6'),
('47', '2', '4'),
('47', '13', '9'),
('47', '26', '8'),
('47', '3', '1'),
('47', '21', '8'),
('47', '30', '10'),
('47', '28', '2'),
('48', '21', '5'),
('48', '13', '10'),
('48', '16', '3'),
('48', '9', '8'),
('48', '6', '2'),
('48', '8', '2'),
('48', '18', '8'),
('48', '12', '7'),
('48', '26', '10'),
('49', '8', '1'),
('49', '27', '3'),
('49', '4', '10'),
('49', '10', '9'),
('49', '5', '4'),
('49', '12', '1'),
('49', '28', '1'),
('49', '26', '7'),
('50', '30', '9'),
('50', '16', '6'),
('51', '8', '5'),
('51', '16', '4'),
('51', '27', '1'),
('51', '10', '8'),
('52', '3', '10'),
('52', '10', '7'),
('53', '8', '4'),
('53', '10', '8'),
('53', '30', '6'),
('54', '13', '9'),
('54', '12', '8'),
('55', '14', '5'),
('55', '9', '2'),
('55', '12', '8'),
('55', '13', '5'),
('55', '25', '2'),
('55', '26', '8'),
('56', '16', '8'),
('56', '8', '9'),
('56', '4', '8'),
('56', '22', '10'),
('56', '13', '10'),
('56', '26', '4'),
('57', '11', '2'),
('57', '17', '8'),
('57', '22', '6'),
('57', '1', '7'),
('58', '25', '3'),
('58', '2', '6'),
('58', '14', '1'),
('58', '3', '4'),
('58', '9', '1'),
('58', '7', '1'),
('58', '24', '7'),
('58', '11', '9'),
('58', '6', '1'),
('58', '4', '3'),
('59', '3', '1'),
('59', '24', '9'),
('59', '15', '10'),
('59', '7', '7'),
('60', '30', '1'),
('60', '14', '7'),
('60', '13', '4'),
('60', '16', '7'),
('61', '19', '6'),
('62', '20', '5'),
('62', '17', '2'),
('62', '3', '2'),
('63', '13', '6'),
('63', '7', '4'),
('63', '19', '7'),
('64', '4', '3'),
('64', '17', '7'),
('64', '15', '5'),
('64', '16', '7'),
('64', '6', '2'),
('64', '28', '10'),
('64', '18', '9'),
('64', '11', '6'),
('65', '12', '7'),
('65', '16', '1'),
('65', '25', '8'),
('65', '30', '1'),
('66', '8', '5'),
('66', '9', '6'),
('66', '16', '8'),
('66', '28', '10'),
('66', '5', '3'),
