('1', '1', '12'),
('1', '2', '89'),
('1', '3', '73'),
('1', '4', '68'),
('1', '5', '9'),
('1', '6', '0'),
('1', '7', '77'),
('1', '8', '15'),
('1', '9', '47'),
('1', '10', '14'),
('1', '11', '0'),
('1', '12', '0'),
('1', '13', '23'),
('1', '14', '61'),
('1', '15', '7'),
('1', '16', '2'),
('1', '17', '79'),
('1', '18', '33'),
('1', '19', '0'),
('1', '20', '0'),
('1', '21', '55'),
('1', '22', '64'),
('1', '23', '76'),
('1', '24', '50'),
('1', '25', '45'),
('1', '26', '60'),
('1', '27', '72'),
('1', '28', '86'),
('1', '29', '98'),
('1', '30', '0'),
('2', '1', '20'),
('2', '2', '32'),
('2', '3', '56'),
('2', '4', '1'),
('2', '5', '52'),
('2', '6', '65'),
('2', '7', '83'),
('2', '8', '84'),
('2', '9', '71'),
('2', '10', '58'),
('2', '11', '42'),
('2', '12', '69'),
('2', '13', '30'),
('2', '14', '61'),
('2', '15', '36'),
('2', '16', '75'),
('2', '17', '81'),
('2', '18', '16'),
('2', '19', '49'),
('2', '20', '83'),
('2', '21', '0'),
('2', '22', '89'),
('2', '23', '30'),
('2', '24', '57'),
('2', '25', '86'),
('2', '26', '53'),
('2', '27', '0'),
('2', '28', '72'),
('2', '29', '84'),
('2', '30', '21'),
('3', '1', '33'),
('3', '2', '57'),
('3', '3', '62'),
('3', '4', '77'),
('3', '5', '4'),
('3', '6', '39'),
('3', '7', '6'),
('3', '8', '53'),
('3', '9', '81'),
('3', '10', '92'),
('3', '11', '1'),
('3', '12', '86'),
('3', '13', '0'),
('3', '14', '91'),
('3', '15', '86'),
('3', '16', '12'),
('3', '17', '77'),
('3', '18', '38'),
('3', '19', '23'),
('3', '20', '50'),
('3', '21', '2'),
('3', '22', '57'),
('3', '23', '14'),
('3', '24', '17'),
('3', '25', '83'),
('3', '26', '14'),
('3', '27', '35'),
('3', '28', '5'),
('3', '29', '0'),
('3', '30', '71'),
('4', '1', '46'),
('4', '2', '5'),
('4', '3', '89'),
('4', '4', '63'),
('4', '5', '58'),
('4', '6', '47'),
('4', '7', '22'),
('4', '8', '75'),
('4', '9', '17'),
('4', '10', '42'),
('4', '11', '47'),
('4', '12', '43'),
('4', '13', '4'),
